aX,aY,aZ,gX,gY,gZ
-2.153,0.909,2.230,172.302,-665.039,88.074
-1.920,1.486,3.645,223.511,-692.139,74.036
-1.322,1.368,4.000,271.790,-621.826,13.916
-0.922,0.548,4.000,287.048,-450.012,-73.120

-0.806,-1.478,3.082,158.264,-232.727,-159.241
-0.762,-1.867,3.732,48.157,-224.731,-139.893
-0.582,-1.613,4.000,-49.744,-197.876,-95.032
-0.447,-1.400,4.000,-119.995,-128.174,-63.782
-0.352,-1.367,4.000,-149.048,-44.800,-50.110
-0.311,-1.305,4.000,-143.066,22.705,-33.325
-0.270,-1.166,4.000,-114.502,75.012,-10.010
-0.202,-0.982,3.797,-74.402,121.399,11.597
-0.199,-0.720,3.276,-35.095,160.950,30.273
-0.183,-0.330,2.902,-3.113,186.707,43.091
-0.272,0.035,2.605,23.560,202.820,44.006
-0.389,0.217,2.338,39.917,216.003,33.020
-0.335,-0.004,2.430,38.025,223.938,15.259
-0.442,-0.074,2.248,27.344,242.310,8.545
-0.478,-0.505,2.261,-2.136,256.897,-4.639
-0.477,-0.744,2.319,-32.837,273.621,-4.211
-0.517,-0.540,2.085,-62.927,308.838,17.517
-0.532,-0.361,1.804,-89.600,340.149,30.579
-0.533,-0.344,1.518,-104.431,363.342,28.198
-0.558,-0.340,1.139,-110.840,386.108,24.780
-0.594,-0.278,0.718,-111.328,405.334,26.306
-0.590,-0.171,0.344,-107.544,415.405,28.320
-0.574,-0.013,-0.027,-99.915,417.542,28.259
-0.533,0.163,-0.398,-90.454,413.391,24.048
-0.461,0.360,-0.663,-76.782,394.775,13.794
-0.380,0.462,-0.914,-56.396,369.690,-3.052
-0.282,0.399,-1.104,-40.283,340.149,-25.452
-0.193,0.185,-1.264,-29.602,311.890,-46.387
-0.118,-0.065,-1.458,-15.808,285.583,-58.838
-0.003,-0.234,-1.697,0.671,260.437,-59.265
0.131,-0.372,-1.812,8.972,231.934,-54.871
0.234,-0.596,-1.861,6.592,203.979,-51.880
0.390,-0.691,-1.971,2.380,183.594,-44.800
0.473,-0.692,-2.307,0.732,168.640,-34.424
0.521,-0.783,-2.577,-11.414,144.409,-29.358
0.594,-0.787,-2.716,-17.822,104.309,-20.386
0.599,-0.634,-2.776,-13.794,58.838,-5.798
0.594,-0.460,-2.704,-5.188,9.583,4.517
0.539,-0.345,-2.552,3.723,-38.452,8.545
0.447,-0.338,-2.396,11.597,-82.397,9.033
0.398,-0.330,-2.207,17.029,-124.084,12.207
0.360,-0.249,-1.978,18.250,-161.987,19.653
0.310,-0.169,-1.790,13.855,-192.322,24.902
0.262,-0.104,-1.622,7.263,-217.896,26.855
0.222,-0.076,-1.442,1.099,-242.249,26.733
0.141,-0.060,-1.279,-2.563,-263.245,26.062
0.064,-0.030,-1.105,-1.770,-283.264,26.245
0.010,0.030,-0.969,3.174,-299.988,27.283
-0.060,0.100,-0.914,11.963,-313.354,26.306
-0.211,0.073,-0.981,20.447,-326.782,21.423
-0.376,0.025,-0.980,26.001,-351.501,19.531
-0.592,-0.011,-0.885,32.349,-386.780,21.729
-0.881,-0.127,-0.675,40.649,-426.514,24.902
-1.179,-0.256,-0.262,54.443,-468.628,30.273
-1.409,-0.240,0.392,71.533,-508.240,41.138
-1.522,-0.125,1.313,80.750,-538.208,50.720
-1.504,0.068,2.473,83.252,-551.025,52.734
-1.373,0.573,3.477,99.182,-540.039,57.068
-1.002,0.994,4.000,113.281,-482.849,42.236
-0.646,0.740,4.000,114.014,-358.765,-6.714
-0.526,0.063,3.937,98.572,-213.806,-57.922
-0.527,-0.511,3.219,58.533,-122.375,-81.238
-0.465,-0.770,3.364,-0.977,-103.333,-76.233
-0.341,-0.850,3.898,-56.274,-98.267,-59.631
-0.193,-0.937,4.000,-88.013,-63.232,-45.166
-0.070,-0.978,3.977,-94.543,-10.010,-29.236
0.024,-0.943,3.805,-90.149,34.058,-12.390
0.066,-0.921,3.596,-79.651,68.970,2.319
0.067,-0.784,3.328,-60.242,102.173,18.127
0.067,-0.636,3.061,-33.508,130.188,33.386
-0.018,-0.238,2.785,-2.502,152.283,47.302
-0.105,0.104,2.583,30.762,167.542,51.697
-0.200,0.446,2.544,61.646,170.410,38.757
-0.266,0.560,2.795,72.144,175.476,16.663
-0.354,0.465,2.731,62.561,204.651,-3.113
